customer_id,account_id,customer_name,account_type,country,city,account_open_date,current_balance,kyc_status,customer_risk_category,mobile_number,email,normalized_customer_id,normalized_country,kyc_reference_id,document_status,risk_flag,source_of_funds,aml_score,kyc_compliance_risk_score,total_swift_transfers,total_swift_amount,average_swift_amount,high_risk_country_transfers,total_crm_interactions,crm_risk_signal_count,total_audit_events,serious_audit_event_count,final_customer_risk_score,final_customer_risk_level,ai_risk_score,ai_risk_level,ai_risk_reasons,ml_anomaly_prediction,ml_anomaly_status,ml_anomaly_score,rule_based_score,hybrid_risk_score,hybrid_risk_level,hybrid_risk_reasons
CUST_1001,ACC_5001,Kathryn Rice,Current,United States,Pune,03-05-2023,528649.61,Incomplete,LOW,404.596.3248,mchavez@example.net,CUST_1001,United States,KYC_7001,Missing,High Cash Activity,Investment,0.39,64.75,2.0,215391.37,107695.685,0.0,0.0,0.0,0.0,0.0,64.75,MEDIUM,50.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer compliance document is missing or expired | Customer has AML/KYC risk flag: High Cash Activity",1,NORMAL,0.1474,50.0,50.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer compliance document is missing or expired | Customer has AML/KYC risk flag: High Cash Activity"
CUST_1002,ACC_5002,Christopher Hernandez Jr.,Current,UAE,Patna,06-24-2020,274681.14,Pending,MEDIUM,+1-451-623-8566x87263,kelseyhernandez@example.org,CUST_1002,United Arab Emirates,KYC_7002,Expired,Offshore Entity Link,Cash Deposits,0.69,92.25,1.0,40209.33,40209.33,0.0,0.0,0.0,2.0,2.0,100.0,HIGH,60.0,MEDIUM,Customer compliance document is missing or expired | Customer has AML/KYC risk flag: Offshore Entity Link | Customer source of funds is unclear or cash-heavy | Serious audit events found for this customer,1,NORMAL,0.0713,60.0,60.0,MEDIUM,Customer compliance document is missing or expired | Customer has AML/KYC risk flag: Offshore Entity Link | Customer source of funds is unclear or cash-heavy | Serious audit events found for this customer
CUST_1003,ACC_5003,Stephanie Cook,Savings,India,Patna,02-05-2025,2296850.47,Expired,MEDIUM,551.876.4145x6190,uortiz@example.net,CUST_1003,India,KYC_7003,Verified,Politically Exposed Person,Business Income,0.49,42.25,2.0,299456.96,149728.47999999998,1.0,0.0,0.0,0.0,0.0,52.25,MEDIUM,43.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer has AML/KYC risk flag: Politically Exposed Person | Customer has transfers to high-risk countries",1,NORMAL,0.1124,43.0,43.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer has AML/KYC risk flag: Politically Exposed Person | Customer has transfers to high-risk countries"
CUST_1004,ACC_5004,Edward Chan,NRI,United Kingdom,Mumbai,2025-04-04,1888436.24,Incomplete,HIGH,893-449-1270x69138,phillip14@example.net,CUST_1004,United Kingdom,KYC_7004,Under Review,Incomplete KYC,Salary,0.17,44.25,1.0,130490.24,130490.24,0.0,0.0,0.0,3.0,1.0,49.25,MEDIUM,40.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer has AML/KYC risk flag: Incomplete KYC | Serious audit events found for this customer",1,NORMAL,0.0971,40.0,40.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer has AML/KYC risk flag: Incomplete KYC | Serious audit events found for this customer"
CUST_1005,ACC_5005,Jennifer Gonzalez,NRI,UAE,Chennai,2025-03-25,4921581.93,Expired,MEDIUM,(616)228-3682,hklein@example.net,CUST_1005,United Arab Emirates,KYC_7005,Missing,Offshore Entity Link,Inheritance,0.76,74.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,74.0,MEDIUM,65.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer compliance document is missing or expired | Customer has AML/KYC risk flag: Offshore Entity Link | Customer AML score is high",1,NORMAL,0.1198,65.0,65.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer compliance document is missing or expired | Customer has AML/KYC risk flag: Offshore Entity Link | Customer AML score is high"
CUST_1006,ACC_5006,Christopher Jackson,Savings,India,Kolkata,04-11-2022,2315437.03,Expired,LOW,666.329.8870,vthomas@example.net,CUST_1006,India,KYC_7006,Expired,Sanctions Watchlist Match,Salary,0.28,62.0,1.0,173153.29,173153.29,0.0,0.0,0.0,0.0,0.0,62.0,MEDIUM,50.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer compliance document is missing or expired | Customer has AML/KYC risk flag: Sanctions Watchlist Match",1,NORMAL,0.1436,50.0,50.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer compliance document is missing or expired | Customer has AML/KYC risk flag: Sanctions Watchlist Match"
CUST_1007,ACC_5007,Brenda Lopez,NRI,India,Chennai,08-25-2022,2454672.93,Missing,LOW,331-992-3909x787,berrybrooke@example.com,CUST_1007,India,KYC_7007,Under Review,Politically Exposed Person,Cash Deposits,0.16,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,MEDIUM,50.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer has AML/KYC risk flag: Politically Exposed Person | Customer source of funds is unclear or cash-heavy",1,NORMAL,0.1313,50.0,50.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer has AML/KYC risk flag: Politically Exposed Person | Customer source of funds is unclear or cash-heavy"
CUST_1008,ACC_5008,Lisa Patel,Current,UAE,Patna,24/08/2021,267766.04,Expired,HIGH,001-299-481-1388x94842,stewartjoshua@example.org,CUST_1008,United Arab Emirates,KYC_7008,Under Review,Politically Exposed Person,Investment,0.86,61.5,2.0,191292.12,95646.06,0.0,0.0,0.0,4.0,1.0,66.5,MEDIUM,55.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer has AML/KYC risk flag: Politically Exposed Person | Customer AML score is high | Serious audit events found for this customer",1,NORMAL,0.0698,55.0,55.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer has AML/KYC risk flag: Politically Exposed Person | Customer AML score is high | Serious audit events found for this customer"
CUST_1009,ACC_5009,Claudia Silva,Current,India,Chennai,01-02-2024,3282109.62,Incomplete,MEDIUM,376.333.0707x299,ahicks@example.org,CUST_1009,India,KYC_7009,Verified,No Risk Flag,Unknown,0.4,30.0,1.0,187110.45,187110.45,0.0,0.0,0.0,2.0,0.0,30.0,LOW,30.0,LOW,"Customer KYC status is incomplete, missing, or expired | Customer source of funds is unclear or cash-heavy",1,NORMAL,0.0888,30.0,30.0,LOW,"Customer KYC status is incomplete, missing, or expired | Customer source of funds is unclear or cash-heavy"
CUST_1010,ACC_5010,Samuel Diaz,NRI,India,Hyderabad,2021-11-08,4788125.94,Expired,HIGH,(211)463-5244x216,heatherpeck@example.net,CUST_1010,India,KYC_7010,Missing,No Risk Flag,Unknown,0.51,57.75,3.0,683587.6,227862.53333333333,0.0,0.0,0.0,0.0,0.0,57.75,MEDIUM,55.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer compliance document is missing or expired | Customer source of funds is unclear or cash-heavy | Customer has high total SWIFT transfer exposure",1,NORMAL,0.111,55.0,55.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer compliance document is missing or expired | Customer source of funds is unclear or cash-heavy | Customer has high total SWIFT transfer exposure"
