customer_id,account_id,customer_name,account_type,country,city,account_open_date,current_balance,kyc_status,customer_risk_category,mobile_number,email
CUST_1001,ACC_5001,Kathryn Rice,Current,United States,Pune,03-05-2023,528649.61,Incomplete,LOW,404.596.3248,mchavez@example.net
CUST_1002,ACC_5002,Christopher Hernandez Jr.,Current,UAE,Patna,06-24-2020,274681.14,Pending,MEDIUM,+1-451-623-8566x87263,kelseyhernandez@example.org
CUST_1003,ACC_5003,Stephanie Cook,Savings,India,Patna,02-05-2025,2296850.47,Expired,MEDIUM,551.876.4145x6190,uortiz@example.net
CUST_1004,ACC_5004,Edward Chan,NRI,United Kingdom,Mumbai,2025-04-04,1888436.24,Incomplete,HIGH,893-449-1270x69138,phillip14@example.net
CUST_1005,ACC_5005,Jennifer Gonzalez,NRI,UAE,Chennai,2025-03-25,4921581.93,Expired,MEDIUM,(616)228-3682,hklein@example.net
CUST_1006,ACC_5006,Christopher Jackson,Savings,India,Kolkata,04-11-2022,2315437.03,Expired,LOW,666.329.8870,vthomas@example.net
CUST_1007,ACC_5007,Brenda Lopez,NRI,India,Chennai,08-25-2022,2454672.93,,LOW,331-992-3909x787,berrybrooke@example.com
CUST_1008,ACC_5008,Lisa Patel,Current,UAE,Patna,24/08/2021,267766.04,Expired,HIGH,001-299-481-1388x94842,stewartjoshua@example.org
CUST_1009,ACC_5009,Claudia Silva,Current,India,Chennai,01-02-2024,3282109.62,Incomplete,MEDIUM,376.333.0707x299,ahicks@example.org
CUST_1010,ACC_5010,Samuel Diaz,NRI,India,Hyderabad,2021-11-08,4788125.94,Expired,HIGH,(211)463-5244x216,heatherpeck@example.net
CUST_1011,ACC_5011,Veronica Smith,Current,United Kingdom,,2022-08-09,4818318.57,Incomplete,MEDIUM,737-744-9583,brianna69@example.net
CUST_1012,ACC_5012,Debra Trevino,Corporate,Singapore,Chennai,2025-12-24,175017.68,Incomplete,HIGH,229-208-1568x392,pjackson@example.net
CUST_1013,ACC_5013,Rhonda Phillips,Savings,United Kingdom,Kolkata,2024-03-15,3799042.32,Verified,HIGH,(655)299-5039,drakegregory@example.net
CUST_1014,ACC_5014,Karina Warner,Salary,India,Delhi,07-25-2021,1510638.11,Expired,LOW,+1-213-627-2425,andersondaniel@example.org
CUST_1015,ACC_5015,Jonathan Rice,Salary,United Kingdom,Pune,05/11/2022,2497991.69,Verified,LOW,+1-233-761-3350x7792,jasonhenderson@example.org
CUST_1016,ACC_5016,Nicholas Lucas MD,Savings,Singapore,Delhi,2025-03-20,4836272.23,Expired,LOW,+1-547-817-7695x01557,jacobturner@example.net
CUST_1017,ACC_5017,Carol Estes,Salary,Germany,Chennai,18/02/2025,4372412.74,Verified,LOW,953-399-5396,linda11@example.com
CUST_1018,ACC_5018,Austin Moore,Corporate,United States,Chennai,2019-11-24,3238709.29,Verified,LOW,+1-659-395-2584,cwoodward@example.org
CUST_1019,ACC_5019,Christopher Fowler,Salary,United Kingdom,Kolkata,2026-01-29,230388.88,Expired,LOW,(794)804-8914,amonroe@example.net
CUST_1020,ACC_5020,Martin Green,NRI,United States,Chennai,22/12/2025,1950972.12,Expired,LOW,001-643-585-2847x0952,valdezkimberly@example.com
CUST_1021,ACC_5021,Alexis Lucas,Salary,United Kingdom,Patna,06-14-2025,4470718.42,Expired,MEDIUM,548.842.5434x133,nhorton@example.org
CUST_1022,ACC_5022,James Williamson,Corporate,United States,Hyderabad,2023-03-21,2713286.14,Pending,HIGH,310.400.2095x3139,johnwilson@example.com
CUST_1023,ACC_5023,Katherine Lewis,Corporate,UAE,Kolkata,2025-11-25,4900769.39,Expired,MEDIUM,(621)918-2757,jensendustin@example.com
CUST_1024,ACC_5024,Scott Nguyen,Current,Singapore,Bengaluru,2025-09-24,2765578.5,Verified,LOW,(909)926-7475x8912,richardmendoza@example.com
CUST_1025,ACC_5025,Joseph Armstrong,Savings,India,Chennai,2025-12-03,869226.73,Incomplete,HIGH,959-619-7019x403,terry08@example.org
